name,url,phone,cuisine
DaNico,https://www.opentable.ca/r/danico-toronto,(647) 715-1200,Italian
Cano Restaurant,https://www.opentable.ca/r/cano-restaurant-toronto,(416) 901-3655,Italian
Oretta Midtown,https://www.opentable.ca/r/oretta-king-toronto,(416) 317-8272,Italian
Lyla Toronto,https://www.opentable.ca/r/lyla-toronto,(647) 948-7997,Mediterranean
The Dorset,https://www.opentable.ca/r/the-dorset-toronto,(647) 288-4304,British
Fox on John,https://www.opentable.ca/r/fox-on-john-toronto,(647) 748-0369,British
Aera,https://www.opentable.ca/r/aera-toronto,(647) 258-5207,Steakhouse
La Plume,https://www.opentable.ca/r/la-plume-toronto,(647) 258-5205,French
Baro,https://www.opentable.ca/r/baro-toronto,(416) 363-8388,Latin American
La Pizza & La Pasta - Eataly Yorkville,https://www.opentable.ca/r/la-pizza-and-la-pasta-eataly-yorkville-toronto,(437) 374-0250,Italian
General Public,https://www.opentable.ca/r/general-public-toronto,(416) 571-1788,Canadian
Parallel,https://www.opentable.ca/r/parallel-toronto,(416) 516-7765,Middle Eastern
Bridgette Bar - Toronto,https://www.opentable.ca/r/bridgette-bar-toronto,(000) 000-0000,American
Lulu Bar - Toronto,https://www.opentable.ca/r/lulu-bar-toronto,(647) 258-5201,Pacific Rim
Le Sélect Bistro,https://www.opentable.ca/r/le-select-bistro-toronto,(416) 626-6262,French
Maison Selby,https://www.opentable.ca/r/maison-selby-toronto,(647) 943-1676,French
The Good Son Restaurant - Queen West,https://www.opentable.ca/r/the-good-son-restaurant-toronto,(416) 551-0589,"Global, International"
Vivo Restaurant,https://www.opentable.ca/r/vivo-pizza-and-pasta-toronto,(416) 604-7477,Italian
Myth,https://www.opentable.ca/r/myth-toronto,(416) 703-2800,Mediterranean
Alice,https://www.opentable.ca/r/alice-toronto,(647) 693-7730,Steak
Maxime's,https://www.opentable.ca/r/maximes-toronto-2,(647) 484-7476,Steakhouse
Vaticano restaurant,https://www.opentable.ca/vaticano-restaurant,(416) 924-4967,Italian
Abrielle,https://www.opentable.ca/r/abrielle-restaurant-toronto,(416) 915-3760,Mediterranean
Alder,https://www.opentable.ca/r/alder-toronto,(416) 637-3737,American
Muni Robata,https://www.opentable.ca/r/muni-robata-toronto,(416) 340-0472,Japanese
Fox CityPlace,https://www.opentable.ca/r/fox-cityplace-toronto,(416) 623-0390,British
Donna Fernanda,https://www.opentable.ca/r/donna-fernanda-toronto,(416) 519-2994,Italian
Belfast Love,https://www.opentable.ca/r/belfast-love-toronto,(416) 363-2223,Pub
Chubby's Jamaican Kitchen,https://www.opentable.ca/r/chubbys-jamaican-kitchen-toronto,(416) 792-8105,Jamaican
Joni Restaurant,https://www.opentable.ca/r/joni-restaurant-toronto,(647) 948-3130,Farm-to-table
